living_area_sqft,bedrooms,bathrooms,property_age,lot_size,parking_spaces,property_condition,neighborhood_quality,distance_to_transit,distance_to_school,crime_index,accessibility_score,local_income,unemployment_rate,inflation_rate,property_price
1078.1,2,1.5,17.4,3787.2,1,Good,5.14,3.37,2.16,37.53,9.49,105.02,5.72,2.63,39.83
2238.2,4,2.5,0.7,10846.7,2,Good,6.45,5.68,2.4,22.29,9.55,116.39,4.48,3.38,70.96
1746.2,3,2.5,13.5,7145.6,1,Average,8.78,1.72,4.54,18.24,10.0,110.3,4.46,3.24,60.67
1576.7,3,2.0,5.3,5527.9,1,Fair,6.16,6.14,1.46,31.79,9.11,111.97,3.82,3.47,52.44
2475.2,4,2.5,6.6,11095.5,3,Average,6.3,4.3,1.76,27.78,8.47,121.0,3.59,3.44,76.79
2866.5,4,3.0,11.3,13124.3,3,Good,5.03,1.58,3.22,41.36,10.0,74.83,5.94,3.4,80.81
2768.2,4,3.5,47.1,9645.8,3,Average,8.47,4.25,1.15,21.2,10.0,109.91,4.61,3.47,76.73
1489.6,3,2.0,22.3,6528.0,2,Excellent,8.12,8.52,3.1,19.53,8.2,118.09,8.0,4.22,52.57
1793.2,3,1.5,49.7,8265.6,2,Average,7.92,0.97,3.5,17.2,10.0,118.6,4.68,2.67,53.39
2243.8,3,2.5,19.4,9528.5,2,Fair,6.7,2.74,0.98,49.23,10.0,97.16,5.94,2.86,57.5
2811.4,4,2.5,0.1,10403.5,2,Excellent,3.62,11.08,0.68,63.2,6.55,50.05,5.26,4.46,62.07
1689.7,2,1.5,5.6,5705.7,2,Good,8.46,5.71,0.97,19.7,9.82,142.86,3.19,4.35,66.09
1872.5,4,3.0,42.5,5091.3,2,Average,6.6,3.3,3.75,35.86,10.0,88.9,3.72,3.59,58.29
1356.7,2,2.0,18.6,8343.7,2,Good,5.94,0.43,2.45,46.12,10.0,86.27,3.54,4.92,47.38
1314.7,1,1.5,65.0,8495.9,1,Good,7.31,1.87,2.47,33.68,10.0,110.56,6.82,3.77,43.34
2655.5,5,3.0,3.1,10983.7,2,Good,6.9,3.57,4.17,26.87,8.65,83.78,6.63,4.81,63.32
3212.1,5,4.0,6.3,18592.9,3,Excellent,4.58,1.89,3.06,40.66,10.0,55.93,7.32,4.49,80.65
1948.5,3,2.0,8.1,9334.8,2,Good,5.92,14.0,3.83,22.64,4.91,87.07,2.76,4.62,54.45
2839.1,6,4.5,7.1,8830.7,3,Average,3.07,4.68,0.81,74.66,8.68,71.89,3.69,2.54,61.91
2267.8,4,3.0,5.2,7085.9,3,Good,6.65,0.86,4.54,30.68,10.0,104.16,5.87,3.9,64.47
1594.3,3,2.0,10.5,8849.9,2,Good,8.89,2.36,1.73,25.78,10.0,98.45,4.36,3.34,54.77
2267.6,3,2.5,18.5,10479.3,1,Average,3.27,1.75,5.29,59.51,10.0,82.03,5.96,2.4,43.38
3423.1,5,3.5,6.7,18569.2,4,Good,6.73,3.08,0.99,39.94,10.0,113.58,4.71,4.4,97.11
1973.3,4,3.0,1.5,11183.2,0,Good,7.7,2.09,1.52,25.77,10.0,116.26,4.6,4.3,59.98
3455.2,4,3.5,22.2,13981.2,4,Good,7.97,1.07,5.29,13.69,10.0,118.95,3.2,3.29,89.08
800.0,1,1.0,11.1,3299.4,1,Excellent,5.16,4.32,4.58,36.48,8.68,93.73,4.57,2.94,41.44
2664.2,4,3.0,14.6,,2,Good,4.52,0.56,3.37,44.05,10.0,109.5,5.61,3.44,74.02
2060.0,3,2.0,10.9,7350.0,2,Good,5.44,2.63,4.42,29.58,10.0,99.93,4.11,2.04,53.19
1799.6,4,2.5,39.8,5836.4,2,Average,8.64,1.39,0.56,12.15,10.0,128.55,5.28,2.39,65.5
2063.4,4,3.0,14.7,8568.9,2,Average,3.42,11.07,1.63,51.53,6.47,47.18,4.05,3.18,49.14
996.6,3,1.5,46.2,2861.6,2,Average,4.31,1.36,3.08,49.41,10.0,76.88,4.35,3.86,36.89
1850.3,2,2.5,12.9,6308.5,2,Excellent,5.67,1.53,4.65,36.72,9.98,101.08,4.42,3.26,66.09
2264.2,4,2.5,6.2,8513.2,3,Average,4.74,4.13,2.8,50.19,9.21,77.94,5.71,2.98,60.8
3351.8,5,4.0,7.9,13322.6,2,Average,6.42,0.64,3.47,44.01,10.0,91.57,6.14,2.78,75.26
1666.7,2,2.0,13.3,8041.7,2,Excellent,9.05,1.46,1.54,13.56,10.0,136.78,7.22,5.23,54.02
1505.7,3,2.5,13.6,7251.9,2,Average,4.33,4.01,5.55,41.8,8.15,61.0,6.06,2.59,44.77
1676.4,4,2.5,20.9,8452.3,2,Good,6.24,0.3,4.92,19.88,10.0,108.87,5.6,2.03,57.73
2752.8,4,3.0,4.6,15006.0,3,Average,6.49,1.39,1.31,37.87,9.95,93.48,7.15,2.97,68.77
2241.9,4,2.5,19.4,6769.9,2,Fair,5.9,0.23,6.82,38.54,10.0,63.11,5.5,3.79,54.91
1660.0,3,2.5,27.1,6715.5,2,Good,3.66,0.72,2.89,56.77,10.0,60.71,5.88,3.48,39.72
2391.4,3,3.0,20.3,14101.8,2,Good,5.35,3.17,1.96,47.16,9.02,85.75,6.25,2.84,64.11
2067.3,2,1.5,11.8,9394.5,0,Good,5.36,2.15,1.09,55.01,10.0,94.34,5.39,3.54,48.9
2804.6,4,2.5,65.0,14099.1,2,Fair,7.64,0.74,0.22,12.37,10.0,118.98,5.13,4.23,76.71
1562.9,1,1.0,9.3,6875.3,1,Good,7.26,0.46,3.4,24.07,10.0,90.37,5.02,3.55,62.12
1781.7,4,2.5,2.0,9398.4,2,Average,3.71,0.39,3.09,56.02,10.0,69.34,4.57,3.52,53.8
1742.0,3,2.0,31.0,10343.0,1,Fair,5.8,0.49,2.62,32.79,10.0,84.26,4.65,3.52,50.84
1197.2,2,2.0,4.3,7221.9,2,Good,5.6,0.52,4.82,31.25,10.0,84.35,6.37,2.84,48.98
2216.4,4,3.0,22.5,6659.6,2,Good,10.0,0.49,7.69,21.35,10.0,126.02,3.99,3.74,70.54
2189.4,3,2.5,3.5,12934.3,1,Excellent,7.03,0.38,2.38,23.44,10.0,105.09,5.35,4.18,65.11
2001.8,3,2.0,0.3,11128.0,3,Excellent,4.56,4.02,4.15,34.69,9.23,121.3,5.17,4.41,69.49
1840.7,3,2.0,3.1,9720.5,1,Good,5.1,9.27,3.75,34.02,6.16,109.66,3.63,3.72,55.66
1217.6,3,2.5,8.5,3482.7,2,Good,5.82,6.4,0.72,51.26,7.11,77.93,6.12,3.41,46.5
1724.6,3,2.5,2.0,8938.3,1,Average,7.15,1.19,0.33,25.11,10.0,108.17,3.73,4.81,65.9
1772.3,3,1.5,4.0,6366.9,2,Excellent,7.37,0.93,2.37,18.56,10.0,105.39,4.38,3.49,67.9
1509.0,2,1.5,26.0,4782.9,1,Good,6.86,0.36,2.51,26.03,10.0,105.89,5.11,3.04,56.09
1888.5,3,2.0,26.4,9082.6,1,Average,6.12,0.74,1.36,36.67,10.0,108.24,6.84,2.88,55.26
2301.7,4,2.5,30.6,8962.8,3,Good,6.26,2.88,3.89,44.94,9.5,95.12,5.77,2.8,56.76
3866.7,5,4.0,33.1,19028.3,3,Good,6.27,14.0,2.31,45.15,6.09,87.11,5.54,3.02,83.78
2124.1,3,2.5,9.8,9206.2,3,Excellent,3.29,6.47,4.13,51.89,8.03,79.03,6.69,4.84,55.14
2186.7,3,2.5,36.4,8097.6,2,Average,6.39,2.52,1.98,34.39,9.79,81.2,4.91,2.83,52.41
1946.8,3,2.5,13.4,10885.2,3,Average,5.46,1.96,1.54,60.11,10.0,90.45,7.4,4.55,61.93
1020.9,1,1.0,11.4,6669.1,1,Average,3.52,0.71,1.88,68.74,10.0,44.73,5.75,3.25,31.2
1979.7,5,4.0,22.8,6179.6,3,Good,10.0,1.94,2.18,8.91,10.0,125.63,5.35,4.18,72.65
2040.8,3,2.0,4.3,9527.6,1,Fair,7.06,3.09,4.57,11.87,9.98,116.62,3.22,2.59,55.9
4732.1,6,5.0,28.0,17650.3,3,Fair,6.52,3.1,2.92,33.02,10.0,90.51,6.27,3.39,96.99
1868.1,3,2.0,10.1,8435.4,2,Good,5.83,2.81,0.8,33.33,10.0,65.8,5.79,2.19,60.36
2220.6,4,3.0,2.5,8478.9,2,Good,7.81,5.76,2.7,20.08,9.29,104.75,4.96,3.42,78.0
1974.1,4,3.0,2.3,8229.2,2,Good,4.41,2.48,5.39,45.26,10.0,64.07,4.64,3.99,50.02
1327.4,2,1.5,3.2,4370.1,1,Average,5.94,2.25,2.5,40.27,10.0,75.6,7.41,4.13,43.06
2980.9,4,3.0,39.8,17415.7,2,Fair,4.79,1.37,0.98,48.36,10.0,87.74,4.32,3.4,52.76
2599.8,5,3.0,65.0,12050.0,3,Fair,7.8,0.84,2.09,22.63,10.0,93.03,5.58,3.13,64.5
2635.6,3,3.5,7.9,11311.2,1,Good,5.01,0.2,2.71,37.78,10.0,74.41,5.24,3.47,68.52
1453.5,2,1.5,6.2,5903.6,2,Average,8.48,1.44,1.02,19.05,10.0,124.42,5.96,2.97,55.31
3264.9,5,4.0,4.4,15787.3,1,Good,6.32,3.41,1.9,33.67,10.0,92.9,3.09,2.97,92.17
1223.4,2,1.0,31.3,6478.1,2,Average,7.89,2.82,3.28,10.66,9.68,110.12,5.94,3.09,43.8
2453.8,4,3.0,4.2,10172.7,3,Average,7.22,2.62,0.8,36.35,10.0,97.91,6.96,3.57,76.3
4301.2,6,4.5,46.4,18667.5,3,Good,8.41,4.94,2.47,17.49,8.77,104.61,3.11,4.48,102.01
1412.8,2,1.5,19.8,6260.6,2,Average,4.82,1.05,2.68,47.4,10.0,71.48,4.16,4.37,41.2
1638.9,3,1.0,40.9,6109.5,1,Average,8.13,3.83,3.54,20.51,9.49,127.7,5.82,3.16,50.16
2069.1,3,2.5,14.5,8573.9,3,Average,3.15,3.19,2.33,61.75,9.58,55.12,5.05,2.79,50.82
1675.4,3,2.0,21.1,9240.7,3,Average,6.58,1.52,1.19,36.03,9.86,102.98,5.95,2.85,54.59
1161.3,2,1.5,17.4,4201.1,1,Good,5.52,0.99,4.16,30.87,10.0,104.09,6.02,2.29,38.73
2046.7,4,2.5,32.0,5524.7,2,Good,3.97,2.85,4.16,56.38,10.0,79.07,5.45,3.95,47.99
1377.7,2,1.5,32.5,4424.1,2,Average,4.89,9.49,3.31,47.31,6.96,63.39,7.14,2.35,38.04
2358.4,4,3.0,16.0,14172.9,3,Average,5.35,0.45,3.02,52.39,10.0,92.76,6.03,1.8,67.65
1448.4,1,1.0,18.0,8449.2,0,Average,6.15,9.98,2.23,43.17,7.61,110.35,3.74,3.95,37.52
3437.4,6,4.0,45.9,14921.1,2,Good,5.56,2.2,0.64,54.45,9.97,80.73,5.97,3.91,78.73
1519.1,3,1.5,47.8,8510.4,2,Fair,6.64,4.16,2.41,29.8,10.0,79.21,5.16,2.59,45.17
1785.2,3,1.5,19.6,8660.5,0,Excellent,5.01,5.4,6.48,58.09,9.03,76.4,5.8,3.63,51.15
2656.4,4,3.5,0.1,14862.6,2,Good,5.64,0.73,4.01,42.67,9.98,92.51,6.48,2.41,72.62
1298.8,2,1.0,2.0,5521.1,2,Good,5.98,0.35,2.21,44.2,10.0,102.06,6.98,3.33,53.22
2163.8,3,2.5,35.1,7836.5,1,Good,6.83,0.64,4.35,39.52,10.0,96.23,5.29,3.67,58.16
3157.4,5,4.0,1.6,15291.6,3,Fair,8.03,1.53,0.86,31.24,10.0,88.82,6.12,3.92,89.86
1138.4,3,1.5,4.3,4538.2,1,Excellent,8.04,10.24,4.25,17.52,7.52,99.55,4.01,3.7,61.19
2131.6,3,2.0,4.7,,3,Excellent,6.93,0.34,4.46,39.53,10.0,109.7,4.69,1.98,67.32
2188.5,4,3.0,16.5,8591.7,2,Good,7.27,,3.32,29.33,7.99,136.53,4.58,3.63,65.85
2627.1,4,3.5,15.5,12598.9,3,Fair,7.06,2.84,1.85,19.73,10.0,105.9,6.34,5.04,65.71
1296.0,2,1.0,6.2,5367.6,1,Good,5.93,0.55,2.38,33.95,10.0,111.62,7.1,3.69,46.14
1258.7,2,1.5,4.2,4580.5,2,Excellent,8.12,0.73,5.92,15.51,10.0,103.59,8.71,2.36,51.59
2398.7,4,2.5,26.0,15094.8,2,Excellent,4.85,3.94,2.11,37.89,9.02,71.75,6.15,2.87,67.05
2217.1,4,2.5,49.3,14210.0,2,Fair,2.81,3.2,1.84,73.78,8.66,30.0,6.44,3.02,43.86
2181.3,5,3.5,1.0,12358.6,2,Excellent,4.63,0.79,2.47,37.48,10.0,83.37,3.3,1.8,72.94
2255.8,3,2.0,2.6,9865.7,2,Excellent,9.03,7.71,0.92,8.0,9.33,116.28,3.23,3.48,72.06
1575.0,3,2.0,18.5,8580.1,1,Good,5.97,0.66,1.7,54.58,10.0,102.02,4.24,3.14,57.4
2167.4,3,2.0,29.4,10183.7,1,Fair,6.99,2.49,0.48,29.25,10.0,98.39,3.82,3.17,59.99
2214.0,3,2.5,28.2,8114.4,3,Good,6.01,2.6,3.26,41.33,10.0,122.38,5.76,3.31,62.58
1556.2,2,2.0,22.9,5973.3,2,Good,7.51,6.74,4.23,34.05,8.78,136.48,7.11,2.86,47.07
3839.2,6,4.0,39.3,13973.0,3,Average,6.63,0.27,1.25,44.83,10.0,68.97,5.21,4.04,85.53
2358.6,6,3.5,4.4,13985.5,3,Average,6.38,0.67,1.76,36.87,10.0,106.61,4.48,3.54,70.85
1316.9,2,1.5,2.0,5863.8,1,Excellent,7.6,0.8,6.13,28.31,10.0,102.05,5.54,3.0,56.46
2514.4,3,3.0,17.2,13276.9,2,Average,5.66,0.41,1.77,45.3,10.0,99.17,4.41,3.73,59.79
1420.6,2,1.0,31.1,6208.0,2,Good,7.17,3.39,5.41,31.11,10.0,88.64,4.6,3.67,42.97
2631.9,3,2.5,15.7,13156.0,2,Excellent,6.19,1.03,0.95,41.25,10.0,116.31,4.99,2.68,79.0
2997.4,5,4.0,59.3,9553.8,3,Fair,6.31,2.95,2.97,33.39,10.0,111.96,5.63,3.27,69.74
1499.3,2,1.5,28.6,5800.2,1,Good,5.03,5.08,2.89,48.11,9.3,63.01,3.37,3.27,48.87
2799.5,5,3.0,21.7,16352.6,3,Average,6.11,1.88,2.81,54.04,10.0,92.74,2.97,2.96,76.52
2308.8,4,3.0,1.1,9312.7,2,Good,5.53,4.89,2.25,39.0,9.39,90.82,4.25,2.38,69.68
2664.4,4,3.5,2.1,11236.9,1,Good,8.53,5.01,1.02,19.26,9.83,133.21,5.77,2.94,79.77
3881.1,6,4.5,27.7,13408.7,2,Average,3.47,1.18,1.52,62.17,10.0,64.72,3.81,4.35,78.54
1833.7,2,1.5,4.0,5697.8,2,Average,8.1,0.25,2.26,26.23,10.0,129.17,7.22,2.91,58.03
1534.9,2,1.5,0.5,5808.0,1,Fair,3.36,0.55,2.53,61.99,10.0,62.65,6.14,4.07,34.13
1463.6,3,2.5,43.5,7426.7,2,Good,7.47,5.75,2.58,17.37,9.6,119.44,5.94,3.37,50.41
1501.9,1,1.5,39.9,7166.6,0,Average,4.99,1.86,3.36,50.75,10.0,63.26,6.14,3.53,34.75
1945.0,3,2.5,4.4,9365.4,2,Good,7.52,6.05,1.83,29.99,9.47,111.11,5.67,2.48,52.77
2251.6,3,2.5,27.3,8890.9,2,Average,6.28,2.74,1.42,44.57,10.0,113.34,5.76,4.27,61.65
2201.4,4,2.5,0.9,11477.7,3,Average,3.92,0.9,1.1,58.82,10.0,89.86,6.57,4.95,62.16
2669.1,6,4.0,6.0,14220.8,4,Good,8.95,4.19,6.68,26.55,10.0,130.3,6.3,2.88,86.25
2007.3,2,2.0,17.6,7796.6,2,Good,7.9,2.81,3.63,17.27,10.0,114.44,5.53,4.38,55.47
3323.4,4,3.5,25.9,12722.5,2,Average,7.41,1.59,2.44,18.6,10.0,129.32,7.32,2.45,84.23
1821.4,3,3.0,0.2,6030.9,2,Good,5.35,0.49,1.17,47.26,10.0,85.08,5.29,3.36,47.2
5177.4,6,5.0,7.1,25585.3,3,Average,7.96,0.55,0.71,31.8,10.0,132.56,4.7,2.52,115.0
2487.4,4,2.5,4.3,12777.5,3,Excellent,4.19,0.87,1.85,51.81,10.0,71.69,3.57,3.68,79.66
1480.3,2,1.5,65.0,8160.2,1,Good,2.49,3.78,2.3,60.13,8.92,54.2,4.41,3.25,35.9
1373.6,2,2.0,20.0,6140.9,0,Good,3.69,4.37,0.65,46.09,10.0,51.94,6.52,3.36,36.02
2365.8,4,3.0,9.4,10256.1,1,Average,4.84,3.39,4.16,53.31,10.0,63.17,5.16,4.38,58.05
1847.9,4,2.5,1.4,5987.6,3,Good,5.14,1.52,1.79,43.48,10.0,97.82,5.73,4.33,63.5
2565.5,3,3.5,16.4,10859.3,2,Excellent,5.72,2.06,8.14,35.3,10.0,114.87,5.29,3.27,66.74
2358.2,4,2.5,18.5,10715.7,3,Excellent,5.8,4.16,3.81,48.12,8.71,93.15,3.88,4.23,68.23
1947.9,3,2.0,30.5,6848.4,3,Excellent,5.33,3.65,0.41,44.18,10.0,83.97,4.88,4.26,59.6
1485.7,2,1.5,6.1,7097.0,0,Average,2.69,4.95,0.53,62.89,7.75,70.26,4.28,4.23,42.06
1175.9,3,2.5,65.0,6114.6,2,Fair,6.85,1.08,1.21,39.74,9.45,108.45,4.72,3.51,47.05
1709.1,2,1.5,10.4,10064.4,1,Good,6.02,0.21,4.64,60.9,10.0,60.69,4.22,3.65,60.45
2696.6,4,3.0,6.3,9643.7,3,Good,5.25,1.19,1.88,40.01,10.0,99.25,5.73,3.19,71.71
2153.7,4,3.0,7.7,11339.3,2,Good,9.02,1.57,5.2,11.89,10.0,109.97,6.09,5.15,72.13
1292.1,2,1.5,13.2,8072.1,1,Average,6.06,10.54,1.59,31.14,6.86,94.57,5.24,3.7,35.36
2123.1,2,1.5,49.7,13022.5,1,Good,6.61,0.99,2.2,39.49,10.0,94.78,3.01,3.34,63.13
2286.7,3,2.5,23.9,12841.3,3,Average,7.93,5.8,1.29,17.22,8.93,107.25,3.71,3.78,72.89
1466.5,3,2.0,15.5,7940.5,1,Average,3.82,3.32,3.64,52.99,8.82,69.57,5.91,3.6,44.02
2108.7,3,2.5,3.2,9002.9,1,Average,6.46,0.79,1.22,32.25,10.0,111.79,4.37,4.95,57.01
2039.3,3,3.0,2.9,6959.8,2,Good,7.93,1.85,4.27,37.32,10.0,116.59,4.37,3.38,63.4
1339.4,3,2.0,12.6,6740.9,1,Excellent,6.34,2.48,2.92,44.15,8.59,117.6,5.28,3.97,51.92
2264.8,3,2.5,23.5,11817.1,1,Average,4.15,1.55,2.91,38.64,9.27,94.25,4.33,3.31,52.55
2431.5,4,3.0,25.0,14193.3,1,Average,5.63,,6.58,52.43,9.69,111.11,2.87,2.13,72.39
2919.2,5,4.0,4.6,12511.3,3,Excellent,6.84,1.13,1.03,23.52,10.0,102.88,4.18,3.4,87.48
2889.5,5,3.5,1.9,11349.0,3,Average,2.71,3.02,1.59,66.56,9.46,49.44,4.76,4.04,71.22
1233.8,4,2.5,8.7,6713.1,2,Good,4.07,3.93,1.85,47.57,9.13,71.28,4.59,3.5,50.42
1439.1,3,2.5,45.1,9130.7,2,Excellent,10.0,2.23,0.8,8.0,10.0,155.75,5.97,2.53,62.5
2392.9,5,4.0,14.2,7046.9,1,Average,7.37,9.3,0.97,19.49,8.37,124.7,5.3,4.59,60.94
2391.9,3,2.0,6.9,7621.9,1,Average,9.17,4.37,0.97,33.25,10.0,94.12,5.22,2.51,69.48
2392.9,3,2.5,7.0,9866.0,3,Average,8.06,7.31,1.67,22.28,8.08,121.96,6.47,2.82,75.56
5200.0,6,5.0,2.5,16319.0,4,Average,7.21,2.27,1.44,36.14,10.0,74.75,3.48,2.56,110.65
2440.1,4,3.0,11.5,7666.5,3,Excellent,5.94,0.25,3.01,31.4,10.0,93.09,6.92,2.62,66.16
2973.4,4,3.5,28.2,9799.7,2,Average,7.19,3.07,0.76,20.1,10.0,100.24,7.02,3.43,76.59
2790.3,4,3.5,62.3,16334.6,2,Fair,9.11,5.66,0.76,13.8,9.76,118.05,5.07,3.86,76.98
2509.9,4,3.0,12.5,7721.4,2,Average,7.99,2.66,0.79,27.21,10.0,128.73,4.77,2.96,76.48
1789.4,3,1.5,3.3,8728.4,3,Good,6.8,2.89,3.76,33.57,9.83,94.14,6.68,3.82,56.66
2606.2,5,3.0,20.7,12854.5,3,Good,6.19,12.0,2.13,45.89,5.2,96.05,4.91,3.98,64.67
1524.6,3,2.5,25.4,9524.1,2,Average,7.4,1.66,3.69,31.49,10.0,97.01,5.59,3.15,38.79
1839.3,3,1.5,1.3,11095.4,2,Good,5.54,5.38,0.94,42.92,9.54,89.77,5.51,2.26,56.44
1686.0,2,2.0,34.2,7921.8,2,Good,7.4,2.45,3.75,31.6,10.0,123.5,5.74,4.54,51.37
2056.3,2,2.0,31.8,11839.8,2,Average,5.24,2.19,8.5,47.53,10.0,73.01,3.99,2.9,38.9
4492.3,6,5.0,11.5,13039.5,3,Average,5.86,0.7,5.72,47.04,10.0,101.38,5.68,1.8,103.76
1039.5,2,1.5,14.8,6696.2,1,Good,4.65,4.62,6.39,54.1,9.51,79.27,4.23,3.11,37.85
2540.7,4,2.5,22.5,11795.0,2,Average,5.71,5.75,2.69,48.94,8.74,91.31,4.54,3.84,53.35
1136.3,1,1.0,20.3,4861.0,0,Excellent,5.27,2.0,0.83,51.38,9.47,80.69,6.22,3.95,42.37
1694.0,5,3.5,0.3,6491.5,3,Average,9.55,4.81,0.5,22.23,10.0,145.6,4.65,2.55,76.21
